date,description,amount,type,expense,merchant,category
2025-06-13,AMAZON.COM AMZN.COM/BILL WA,19.32,expense,19.32,AMAZONCOM AMZNCOMBILL WA,shopping
2025-06-13,AMAZON.COM AMZN.COM/BILL WA,12.86,expense,12.86,AMAZONCOM AMZNCOMBILL WA,shopping
2025-06-29,SAMSUNG ELECTRONICS RIDGEFIELD PARK NJ,404.48,expense,404.48,SAMSUNG ELECTRONICS RIDGEFIELD PARK NJ,shopping
2025-07-01,AMAZON MARKEPLACE NA PA,12.02,expense,12.02,AMAZON MARKEPLACE NA PA,shopping
2025-07-08,AMAZON.COM AMZN.COM/BILL WA,260.76,expense,260.76,AMAZONCOM AMZNCOMBILL WA,shopping
2025-07-13,SAMSUNG ELECTRONICS RIDGEFIELD PARK NJ,18.82,expense,18.82,SAMSUNG ELECTRONICS RIDGEFIELD PARK NJ,shopping
2025-07-19,AMAZON MARKEPLACE NA PA,4.29,expense,4.29,AMAZON MARKEPLACE NA PA,shopping
2025-07-22,SAMSUNG ELECTRONICS RIDGEFIELD PARK NJ,-404.48,payment,0.0,SAMSUNG ELECTRONICS RIDGEFIELD PARK NJ,payment
2025-07-24,PYL*NORTH TERRACE KANSAS CITY MO,56.92,expense,56.92,PYLNORTH TERRACE KANSAS CITY MO,other
2025-07-27,LATE FEE,29.0,expense,29.0,LATE FEE,other
2025-07-28,ELECTRONIC PAYMENT RECEIVED-THANK,-95.01,payment,0.0,ELECTRONIC PAYMENT RECEIVEDTHANK,payment
2025-08-01,INTEREST CHARGE ON PURCHASES,0.12,expense,0.12,INTEREST CHARGE ON PURCHASES,other
2025-08-02,DOLLAR TREE 00000104KANSAS CITY MO,93.61,expense,93.61,DOLLAR TREE KANSAS CITY MO,groceries
2025-08-02,WAL-MART SUPERCENTERKANSAS CITY MO,93.99,expense,93.99,WALMART SUPERCENTERKANSAS CITY MO,groceries
2025-08-04,T J MAXX OVERLAND PARK KS,56.27,expense,56.27,T J MAXX OVERLAND PARK KS,shopping
2025-08-04,MACYS OAK PARK 0000OVERLAND PARK KS,43.88,expense,43.88,MACYS OAK PARK OVERLAND PARK KS,other
2025-08-06,WORLD FRESH MARKET 0OVERLAND PARK KS,30.84,expense,30.84,WORLD FRESH MARKET OVERLAND PARK KS,other
2025-08-06,WAL-MART SUPERCENTEROVERLAND PARK KS,14.18,expense,14.18,WALMART SUPERCENTEROVERLAND PARK KS,groceries
2025-08-06,TMOBILE PREPAID WEB 877-778-2106 WA,16.68,expense,16.68,TMOBILE PREPAID WEB WA,other
2025-08-06,SWAROVSKI RETAIL VENCRANSTON RI,109.86,expense,109.86,SWAROVSKI RETAIL VENCRANSTON RI,other
2025-08-19,AMAZON MARKEPLACE NA PA,6.75,expense,6.75,AMAZON MARKEPLACE NA PA,shopping
2025-08-19,AMAZON MARKETPLACE PAMZN.COM/BILL WA,4.04,expense,4.04,AMAZON MARKETPLACE PAMZNCOMBILL WA,shopping
2025-08-19,REDEEM CASH BACK AT AMAZON.COM CREDIT,-4.04,payment,0.0,REDEEM CASH BACK AT AMAZONCOM CREDIT,payment
2025-08-22,WAL-MART SUPERCENTERKANSAS CITY MO,-12.82,payment,0.0,WALMART SUPERCENTERKANSAS CITY MO,payment
2025-08-25,ELECTRONIC PAYMENT RECEIVED-THANK,-295.01,payment,0.0,ELECTRONIC PAYMENT RECEIVEDTHANK,payment
2025-08-26,AMAZON MARKETPLACE PAMZN.COM/BILL WA,-4.04,payment,0.0,AMAZON MARKETPLACE PAMZNCOMBILL WA,payment
2025-08-26,AMAZON MARKETPLACE NAMZN.COM/BILL WA,-6.75,payment,0.0,AMAZON MARKETPLACE NAMZNCOMBILL WA,payment
2025-08-29,TMOBILE WEB UPGRADE 800-937-8997 WA,55.0,expense,55.0,TMOBILE WEB UPGRADE WA,other
2025-09-01,DOLLAR TREE 00000410KANSAS CITY MO,5.52,expense,5.52,DOLLAR TREE KANSAS CITY MO,groceries
2025-09-02,INTEREST CHARGE ON PURCHASES,0.52,expense,0.52,INTEREST CHARGE ON PURCHASES,other
2025-09-07,YOUR CASH REWARD/REFUND IS,-5.04,payment,0.0,YOUR CASH REWARDREFUND IS,payment
2025-09-12,AMAZON MARKEPLACE NA PA,23.3,expense,23.3,AMAZON MARKEPLACE NA PA,shopping
2025-09-14,UBER,4.71,expense,4.71,UBER,transport
2025-09-15,UBER,5.65,expense,5.65,UBER,transport
2025-09-17,ELECTRONIC PAYMENT RECEIVED-THANK,-300.0,payment,0.0,ELECTRONIC PAYMENT RECEIVEDTHANK,payment
2025-09-19,REDEEM CASH BACK AT AMAZON.COM CREDIT,-6.03,payment,0.0,REDEEM CASH BACK AT AMAZONCOM CREDIT,payment
2025-09-19,AMAZON MARKETPLACE PAMZN.COM/BILL WA,6.03,expense,6.03,AMAZON MARKETPLACE PAMZNCOMBILL WA,shopping
2025-09-19,AMAZON MARKEPLACE NA PA,27.08,expense,27.08,AMAZON MARKEPLACE NA PA,shopping
2025-09-19,AMAZON MARKEPLACE NA PA,14.56,expense,14.56,AMAZON MARKEPLACE NA PA,shopping
2025-09-20,UBER,4.91,expense,4.91,UBER,transport
2025-09-20,AMAZON.COM AMZN.COM/BILL WA,9.48,expense,9.48,AMAZONCOM AMZNCOMBILL WA,shopping
2025-09-24,TMOBILE*AUTO PAY 800-937-8997 WA,62.0,expense,62.0,TMOBILEAUTO PAY WA,other
2025-09-25,OPENAI *CHATGPT SUBSSAN FRANCISCO CA,20.0,expense,20.0,OPENAI CHATGPT SUBSSAN FRANCISCO CA,other
2025-10-02,UMKC ONLINE PAYMENTSKANSAS CITY MO,100.0,expense,100.0,UMKC ONLINE PAYMENTSKANSAS CITY MO,other
2025-10-06,TMOBILE PREPAID WEB 877-778-2106 WA,16.68,expense,16.68,TMOBILE PREPAID WEB WA,other
2025-10-08,AMAZON MARKETPLACE NAMZN.COM/BILL WA,-6.5,payment,0.0,AMAZON MARKETPLACE NAMZNCOMBILL WA,payment
2025-10-09,USCIS ELIS I765 0000WASHINGTON DC,470.0,expense,470.0,USCIS ELIS I WASHINGTON DC,other
2025-10-10,MOBILE PAYMENT - THANK YOU,-20.0,payment,0.0,MOBILE PAYMENT,payment
2025-10-10,MOBILE PAYMENT - THANK YOU,-100.0,payment,0.0,MOBILE PAYMENT,payment
2025-10-10,MCDONALD'S GRANDVIEW MO,11.16,expense,11.16,MCDONALDS GRANDVIEW MO,food
2025-10-11,AMAZON.COM AMZN.COM/BILL WA,15.16,expense,15.16,AMAZONCOM AMZNCOMBILL WA,shopping
2025-10-12,AMAZON.COM AMZN.COM/BILL WA,26.54,expense,26.54,AMAZONCOM AMZNCOMBILL WA,shopping
