Date,Description,Amount
12/31/2025,"GROUPON, INC.       CHICAGO             IL",65.00
12/29/2025,AMAZON MARKEPLACE NA PA,31.69
12/23/2025,ELECTRONIC PAYMENT RECEIVED-THANK,-385.00
12/18/2025,TN SERV FEE U OF M KJEFF                IN,3.00
12/18/2025,UNIVERSITY OF MISSOUKANSAS CITY         MO,80.00
12/15/2025,UBER,6.35
12/08/2025,TMOBILE PREPAID WEB 877-778-2106        WA,16.68
12/08/2025,UBER,3.73
12/05/2025,UBER,2.87
11/30/2025,YOUR CASH REWARD/REFUND IS,-12.48
11/27/2025,UBER,26.23
11/26/2025,MOBILE PAYMENT - THANK YOU,-40.00
11/22/2025,AMAZON.COM          AMZN.COM/BILL       WA,-26.54
11/08/2025,BP#1186800TROOST BP KANSAS CITY         MO,-8.71
11/08/2025,BP#1186800TROOST BP KANSAS CITY         MO,8.71
11/08/2025,BP#1621900PROSPECT BKANSAS CITY         MO,-51.61
11/08/2025,BP#1621900PROSPECT BKANSAS CITY         MO,51.61
11/06/2025,KEYME LOCKSMITHS    JERSEY CITY         NJ,11.77
11/06/2025,KEYME LOCKSMITHS    JERSEY CITY         NJ,16.31
11/05/2025,MIDTOWN MARKET 00000KANSAS CITY         MO,42.09
11/05/2025,TMOBILE PREPAID WEB 877-778-2106        WA,16.68
11/02/2025,UBER,5.21
10/25/2025,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,20.00
10/25/2025,SamPay PLEASE STOP 0PARKVILLE           MO,8.32
10/25/2025,UBER,5.64
10/24/2025,TMOBILE*AUTO PAY    800-937-8997        WA,55.00
10/15/2025,UBER,5.48
10/12/2025,AMAZON.COM          AMZN.COM/BILL       WA,26.54
10/12/2025,K9QN:0001 200.00 credit,-200.00
10/12/2025,UBER,7.97
10/11/2025,AMAZON.COM          AMZN.COM/BILL       WA,15.16
10/10/2025,MCDONALD'S          GRANDVIEW           MO,11.16
10/10/2025,MOBILE PAYMENT - THANK YOU,-100.00
10/10/2025,MOBILE PAYMENT - THANK YOU,-20.00
10/09/2025,USCIS ELIS I765 0000WASHINGTON          DC,470.00
10/08/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-6.50
10/06/2025,TMOBILE PREPAID WEB 877-778-2106        WA,16.68
10/02/2025,UMKC ONLINE PAYMENTSKANSAS CITY         MO,100.00
09/25/2025,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,20.00
09/24/2025,TMOBILE*AUTO PAY    800-937-8997        WA,62.00
09/20/2025,AMAZON.COM          AMZN.COM/BILL       WA,9.48
09/20/2025,UBER,4.91
09/19/2025,AMAZON MARKEPLACE NA PA,14.56
09/19/2025,AMAZON MARKEPLACE NA PA,27.08
09/19/2025,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,6.03
09/19/2025,Redeem Cash Back at Amazon.com Credit,-6.03
09/17/2025,ELECTRONIC PAYMENT RECEIVED-THANK,-300.00
09/15/2025,UBER,5.65
09/14/2025,UBER,4.71
09/12/2025,AMAZON MARKEPLACE NA PA,23.30
09/07/2025,YOUR CASH REWARD/REFUND IS,-5.04
09/02/2025,Interest Charge on Purchases,0.52
09/01/2025,DOLLAR TREE 00000410KANSAS CITY         MO,5.52
08/29/2025,TMOBILE WEB UPGRADE 800-937-8997        WA,55.00
08/26/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-6.75
08/26/2025,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,-4.04
08/25/2025,ELECTRONIC PAYMENT RECEIVED-THANK,-295.01
08/22/2025,WAL-MART SUPERCENTERKANSAS CITY         MO,-12.82
08/19/2025,AMAZON MARKEPLACE NA PA,6.75
08/19/2025,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,4.04
08/19/2025,Redeem Cash Back at Amazon.com Credit,-4.04
08/06/2025,SWAROVSKI RETAIL VENCRANSTON            RI,109.86
08/06/2025,TMOBILE PREPAID WEB 877-778-2106        WA,16.68
08/06/2025,WAL-MART SUPERCENTEROVERLAND PARK       KS,14.18
08/06/2025,WORLD FRESH MARKET 0OVERLAND PARK       KS,30.84
08/04/2025,MACYS  OAK PARK 0000OVERLAND PARK       KS,43.88
08/04/2025,T J MAXX            OVERLAND PARK       KS,56.27
08/02/2025,DOLLAR TREE 00000104KANSAS CITY         MO,93.61
08/02/2025,WAL-MART SUPERCENTERKANSAS CITY         MO,93.99
08/01/2025,Interest Charge on Purchases,0.12
07/28/2025,ELECTRONIC PAYMENT RECEIVED-THANK,-95.01
07/27/2025,LATE FEE,29.00
07/24/2025,PYL*NORTH TERRACE   KANSAS CITY         MO,56.92
07/22/2025,SAMSUNG ELECTRONICS RIDGEFIELD PARK     NJ,-404.48
07/19/2025,AMAZON MARKEPLACE NA PA,4.29
07/13/2025,SAMSUNG ELECTRONICS RIDGEFIELD PARK     NJ,18.82
07/08/2025,AMAZON.COM          AMZN.COM/BILL       WA,260.76
07/01/2025,AMAZON MARKEPLACE NA PA,12.02
06/29/2025,SAMSUNG ELECTRONICS RIDGEFIELD PARK     NJ,404.48
06/13/2025,AMAZON.COM          AMZN.COM/BILL       WA,12.86
06/13/2025,AMAZON.COM          AMZN.COM/BILL       WA,19.32
